qubit_count,gate_depth,error_rate_pct,is_error_corrected,circuit_exec_ms
92,475,2.5,1,343.85
46,222,1.7,0,249.43
83,334,0.7,1,271.05
95,173,2.3,0,345.42
36,216,3.7,1,250.03
39,435,1.6,0,310.07
24,164,2.7,0,215.88
77,159,1.8,1,215.27
26,249,1.6,1,158.37
15,257,4.0,1,234.0
97,402,4.3,0,379.35
74,348,3.3,0,400.7
53,246,4.6,1,218.36
59,345,4.2,1,230.9
35,55,2.6,1,133.32
20,62,3.8,1,175.22
9,274,0.1,1,140.27
63,314,0.6,0,330.6
28,322,4.2,1,244.58
35,369,1.6,1,144.43
19,31,4.7,0,197.58
50,336,0.1,1,195.72
43,239,3.0,1,157.68
38,103,2.2,0,240.55
82,344,1.0,0,296.79
